names,page,first_name,title,electorate,house,party
Dawkins,https://members.parliament.sa.gov.au/Detail.aspx?pid=2599,Maynard,Hon,Served in Multiple Electorates,Legislative Council,Liberal Party
De Garis AM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2517,Renfrey,Hon,Served in Multiple Electorates,Legislative Council,Liberal Party
De Laine,https://members.parliament.sa.gov.au/Detail.aspx?pid=528,Murray,Mr,Price,House of Assembly,Represented multiple parties
Dean,https://members.parliament.sa.gov.au/Detail.aspx?pid=3699,Horace,Mr,Barossa,House of Assembly,Unknown
Dennison,https://members.parliament.sa.gov.au/Detail.aspx?pid=3700,Samuel,Mr,Wooroora,House of Assembly,Unknown
Denny MC,https://members.parliament.sa.gov.au/Detail.aspx?pid=3617,Bill,Hon,Served in Multiple Electorates,House of Assembly,Unknown
Densley,https://members.parliament.sa.gov.au/Detail.aspx?pid=4078,Leslie,Hon,Served in Multiple Electorates,Legislative Council,LCL
Derrington,https://members.parliament.sa.gov.au/Detail.aspx?pid=3618,Edwin,Mr,Victoria,House of Assembly,Unknown
Dickson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3619,Samuel,Mr,Burra Burra,House of Assembly,Unknown
Digance,https://members.parliament.sa.gov.au/Detail.aspx?pid=4838,Annabel,Mrs,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Dixson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3621,Robert,Mr,Light,House of Assembly,Unknown
Dixson KBE,https://members.parliament.sa.gov.au/Detail.aspx?pid=3620,Sir Hugh, ,Served in Multiple Electorates,House of Assembly,Pre-Party System
Downer,https://members.parliament.sa.gov.au/Detail.aspx?pid=3736,Henry,Mr,Encounter Bay,House of Assembly,Unknown
Downer KCMG KC,https://members.parliament.sa.gov.au/Detail.aspx?pid=4191,Sir John,Hon,Served in Multiple Electorates,Represented multiple houses,Represented multiple parties
Drury,https://members.parliament.sa.gov.au/Detail.aspx?pid=3737,Leslie,Mr,Mawson,House of Assembly,Australian Labor Party
Duffield,https://members.parliament.sa.gov.au/Detail.aspx?pid=4147,Walter,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Duhst,https://members.parliament.sa.gov.au/Detail.aspx?pid=3738,Oscar,Mr,Wooroora,House of Assembly,Unknown
Duigan,https://members.parliament.sa.gov.au/Detail.aspx?pid=2518,Mike,Mr,Adelaide,House of Assembly,Australian Labor Party
Dumas,https://members.parliament.sa.gov.au/Detail.aspx?pid=3739,Charles,Mr,Mount Barker,House of Assembly,Unknown
Duncan,https://members.parliament.sa.gov.au/Detail.aspx?pid=4149,Kossuth,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Duncan,https://members.parliament.sa.gov.au/Detail.aspx?pid=3740,Leslie,Mr,Gawler,House of Assembly,Unknown
Duncan,https://members.parliament.sa.gov.au/Detail.aspx?pid=2519,Peter,Hon,Elizabeth,House of Assembly,Australian Labor Party
Duncan,https://members.parliament.sa.gov.au/Detail.aspx?pid=4148,Sir John, ,Served in Multiple Electorates,Represented multiple houses,Unknown
Duncan,https://members.parliament.sa.gov.au/Detail.aspx?pid=4054,Sir Walter,Hon,Served in Multiple Electorates,Legislative Council,Liberal and Country League
Duncan,https://members.parliament.sa.gov.au/Detail.aspx?pid=3741,Walter,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Dunford,https://members.parliament.sa.gov.au/Detail.aspx?pid=4055,James,Mr,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Dunks,https://members.parliament.sa.gov.au/Detail.aspx?pid=3742,Henry,Mr,Served in Multiple Electorates,House of Assembly,LCL
Dunn,https://members.parliament.sa.gov.au/Detail.aspx?pid=3743,George,Mr,Murray,House of Assembly,Unknown
Dunn,https://members.parliament.sa.gov.au/Detail.aspx?pid=4016,Herbert,Mr,Stirling,House of Assembly,Represented multiple parties
Dunn,https://members.parliament.sa.gov.au/Detail.aspx?pid=2520,Peter,Hon,Served in Multiple Electorates,Legislative Council,Liberal Party
Dunn,https://members.parliament.sa.gov.au/Detail.aspx?pid=3624,William,Mr,Onkaparinga,House of Assembly,Unknown
Dunn Jnr,https://members.parliament.sa.gov.au/Detail.aspx?pid=4150,John,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Dunn Snr,https://members.parliament.sa.gov.au/Detail.aspx?pid=4151,John,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Dunnage,https://members.parliament.sa.gov.au/Detail.aspx?pid=3625,Colin,Mr,Unley,House of Assembly,LCL
Dunstan AC QC,https://members.parliament.sa.gov.au/Detail.aspx?pid=2602,Don,Hon,Norwood,House of Assembly,Australian Labor Party
Dutton,https://members.parliament.sa.gov.au/Detail.aspx?pid=4056,Frederick,Mr,unknown,Legislative Council,Unknown
Dutton CMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=4158,Francis,Mr,Served in Multiple Electorates,Represented multiple houses,Pre-Party System
Eastick AM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2521,Bruce,Hon Dr,Light,House of Assembly,Represented multiple parties
Edmonds,https://members.parliament.sa.gov.au/Detail.aspx?pid=4057,Ernest,Hon,Served in Multiple Electorates,Legislative Council,Unknown
Edwards,https://members.parliament.sa.gov.au/Detail.aspx?pid=3627,Albert,Mr,Adelaide,House of Assembly,Unknown
Edwards,https://members.parliament.sa.gov.au/Detail.aspx?pid=3626,Ernest,Mr,Eyre,House of Assembly,LCL
Edwards,https://members.parliament.sa.gov.au/Detail.aspx?pid=3628,Thomas,Mr,Barossa,House of Assembly,Unknown
Elder,https://members.parliament.sa.gov.au/Detail.aspx?pid=4058,Alexander,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Elder GCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=4059,Sir Thomas, ,Served in Multiple Electorates,Legislative Council,Unknown
Elliott,https://members.parliament.sa.gov.au/Detail.aspx?pid=589,Mike,Hon,Served in Multiple Electorates,Legislative Council,Democrats
Ellis,https://members.parliament.sa.gov.au/Detail.aspx?pid=4060,John,Mr,Served in Multiple Electorates,Legislative Council,Unknown
English,https://members.parliament.sa.gov.au/Detail.aspx?pid=3925,Thomas,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Evans,https://members.parliament.sa.gov.au/Detail.aspx?pid=563,Iain,Hon,Served in Multiple Electorates,House of Assembly,Liberal Party
Evans,https://members.parliament.sa.gov.au/Detail.aspx?pid=2522,Martyn,Mr,Elizabeth,House of Assembly,Represented multiple parties
Evans OAM,https://members.parliament.sa.gov.au/Detail.aspx?pid=4275,Andrew,Hon,Served in Multiple Electorates,Legislative Council,Family First Party
Evans OAM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2523,Stan,Mr,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Everard,https://members.parliament.sa.gov.au/Detail.aspx?pid=3926,Charles,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Everard,https://members.parliament.sa.gov.au/Detail.aspx?pid=4159,William,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Feleppa OAM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2524,Mario,Hon,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Fenn,https://members.parliament.sa.gov.au/Detail.aspx?pid=4090,Charles,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Ferguson,https://members.parliament.sa.gov.au/Detail.aspx?pid=2525,Don,Mr,Henley Beach,House of Assembly,Australian Labor Party
Ferguson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3629,James,Mr,Served in Multiple Electorates,House of Assembly,Liberal and Country League
Finnigan,https://members.parliament.sa.gov.au/Detail.aspx?pid=3165,Bernard,Mr,Unknown,Legislative Council,Represented multiple parties
Finniss,https://members.parliament.sa.gov.au/Detail.aspx?pid=4214,B.T.,Hon,Served in Multiple Electorates,Represented multiple houses,Pre-Party System
Fisher,https://members.parliament.sa.gov.au/Detail.aspx?pid=3630,Daniel,Mr,East Torrens,House of Assembly,Unknown
Fisher,https://members.parliament.sa.gov.au/Detail.aspx?pid=4215,Joseph,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Fisher,https://members.parliament.sa.gov.au/Detail.aspx?pid=4091,Sir James Hurtle, ,Served in Multiple Electorates,Legislative Council,Unknown
Fisk,https://members.parliament.sa.gov.au/Detail.aspx?pid=3744,William,Mr,Glenelg,House of Assembly,Unknown
Fitzgerald,https://members.parliament.sa.gov.au/Detail.aspx?pid=3745,John,Mr,Port Pirie,House of Assembly,Unknown
Fletcher,https://members.parliament.sa.gov.au/Detail.aspx?pid=4017,John,Mr,Mount Gambier,House of Assembly,Independent
Foley,https://members.parliament.sa.gov.au/Detail.aspx?pid=532,Kevin,Hon,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Forster,https://members.parliament.sa.gov.au/Detail.aspx?pid=4092,Anthony,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Foster,https://members.parliament.sa.gov.au/Detail.aspx?pid=3746,Richard,Hon,Served in Multiple Electorates,House of Assembly,Unknown
Foster OAM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2526,Norman,Mr,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Fowler,https://members.parliament.sa.gov.au/Detail.aspx?pid=3747,George,Mr,East Adelaide,House of Assembly,Unknown
Fox,https://members.parliament.sa.gov.au/Detail.aspx?pid=3748,Arthur,Mr,West Adelaide,House of Assembly,Unknown
Fox,https://members.parliament.sa.gov.au/Detail.aspx?pid=3115,Chloe,Ms,Bright,House of Assembly,Australian Labor Party
Fraser,https://members.parliament.sa.gov.au/Detail.aspx?pid=3749,Hugh,Mr,West Adelaide,House of Assembly,Unknown
Freebairn,https://members.parliament.sa.gov.au/Detail.aspx?pid=2527,John,Mr,Light,House of Assembly,Liberal and Country League
Freeling,https://members.parliament.sa.gov.au/Detail.aspx?pid=4093,Arthur,Major,Served in Multiple Electorates,Legislative Council,Unknown
Frome,https://members.parliament.sa.gov.au/Detail.aspx?pid=4094,Edward,Lieutenant,unknown,Legislative Council,Unknown
Fuller,https://members.parliament.sa.gov.au/Detail.aspx?pid=4216,Henry,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Furner,https://members.parliament.sa.gov.au/Detail.aspx?pid=3750,Luke,Mr,Wallaroo,House of Assembly,Unknown
Gago,https://members.parliament.sa.gov.au/Detail.aspx?pid=1821,Gail,Hon,Unknown,Legislative Council,Australian Labor Party
Gayler,https://members.parliament.sa.gov.au/Detail.aspx?pid=2528,Di,Ms,Newland,House of Assembly,Australian Labor Party
Gazzola,https://members.parliament.sa.gov.au/Detail.aspx?pid=1822,John,Hon,Unknown,Legislative Council,Australian Labor Party
Geddes,https://members.parliament.sa.gov.au/Detail.aspx?pid=2586,Richard ,Hon,Served in Multiple Electorates,Legislative Council,Liberal Party
George,https://members.parliament.sa.gov.au/Detail.aspx?pid=3751,Even,Mr,Burra Burra,House of Assembly,Unknown
George,https://members.parliament.sa.gov.au/Detail.aspx?pid=3752,Herbert,Mr,Adelaide,House of Assembly,Unknown
Geraghty,https://members.parliament.sa.gov.au/Detail.aspx?pid=538,Robyn,Mrs,Torrens,House of Assembly,Australian Labor Party
Gilbert,https://members.parliament.sa.gov.au/Detail.aspx?pid=3753,William,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Giles,https://members.parliament.sa.gov.au/Detail.aspx?pid=2529,Bryant,Mr,Gumeracha,House of Assembly,Represented multiple parties
Giles,https://members.parliament.sa.gov.au/Detail.aspx?pid=3754,Clement,Mr,Frome,House of Assembly,Unknown
Giles,https://members.parliament.sa.gov.au/Detail.aspx?pid=3755,Edward,Mr,Yorke Peninsula,House of Assembly,Unknown
Giles,https://members.parliament.sa.gov.au/Detail.aspx?pid=4095,Geoffrey,Mr,Served in Multiple Electorates,Legislative Council,LCL
Giles,https://members.parliament.sa.gov.au/Detail.aspx?pid=4096,William,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Gilfillan,https://members.parliament.sa.gov.au/Detail.aspx?pid=4097,Gordon,Hon,Served in Multiple Electorates,Legislative Council,LCL
Gilfillan,https://members.parliament.sa.gov.au/Detail.aspx?pid=572,Ian,Hon,Served in Multiple Electorates,Legislative Council,Democrats
Gillen,https://members.parliament.sa.gov.au/Detail.aspx?pid=3756,Peter,Mr,Stanley,House of Assembly,Unknown
Glazbrook,https://members.parliament.sa.gov.au/Detail.aspx?pid=2530,Richard,Mr,Brighton,House of Assembly,Liberal Party
Gleeson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3757,Hampton,Mr,Flinders,House of Assembly,Unknown
Gluyas,https://members.parliament.sa.gov.au/Detail.aspx?pid=4098,Thomas,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Glyde,https://members.parliament.sa.gov.au/Detail.aspx?pid=3768,Lavington,Hon,Served in Multiple Electorates,House of Assembly,Unknown
Glyde,https://members.parliament.sa.gov.au/Detail.aspx?pid=3769,Samuel,Mr,Sturt,House of Assembly,Unknown
Glyde,https://members.parliament.sa.gov.au/Detail.aspx?pid=4099,William,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Glynn KC,https://members.parliament.sa.gov.au/Detail.aspx?pid=3770,Paddy,Hon,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Godfree,https://members.parliament.sa.gov.au/Detail.aspx?pid=3771,John,Mr,Murray,House of Assembly,Unknown
Goldney,https://members.parliament.sa.gov.au/Detail.aspx?pid=3772,Rufus,Mr,Gouger,House of Assembly,LCL
Goldsworthy,https://members.parliament.sa.gov.au/Detail.aspx?pid=1805,Mark,Mr,Kavel,House of Assembly,Liberal Party
Goldsworthy AO,https://members.parliament.sa.gov.au/Detail.aspx?pid=2531,Roger,Hon,Kavel,House of Assembly,Liberal and Country League
Goode,https://members.parliament.sa.gov.au/Detail.aspx?pid=3774,Charles,Mr,Burra,House of Assembly,Unknown
Goode,https://members.parliament.sa.gov.au/Detail.aspx?pid=3775,Clarence,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Goode,https://members.parliament.sa.gov.au/Detail.aspx?pid=3773,Sir Charles, ,East Torrens,House of Assembly,Pre-Party System
Gordon,https://members.parliament.sa.gov.au/Detail.aspx?pid=3776,Adam,Mr,Victoria,House of Assembly,Unknown
Gordon,https://members.parliament.sa.gov.au/Detail.aspx?pid=4101,Douglas,Mr,Served in Multiple Electorates,Legislative Council,Liberal and Country League
Gordon,https://members.parliament.sa.gov.au/Detail.aspx?pid=4100,Sir David,Hon,Served in Multiple Electorates,Legislative Council,Unknown
Gordon KC,https://members.parliament.sa.gov.au/Detail.aspx?pid=4102,Sir John,Hon,Served in Multiple Electorates,Legislative Council,Pre-Party System
Gouger,https://members.parliament.sa.gov.au/Detail.aspx?pid=4103,Robert,Mr,unknown,Legislative Council,Unknown
Gould,https://members.parliament.sa.gov.au/Detail.aspx?pid=3777,Benjamin,Mr,West Torrens,House of Assembly,Unknown
Grainger,https://members.parliament.sa.gov.au/Detail.aspx?pid=3778,Henry,Mr,Wallaroo,House of Assembly,Unknown
Grainger,https://members.parliament.sa.gov.au/Detail.aspx?pid=4104,John,Mr,unknown,Legislative Council,Unknown
Grayson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3779,Lawrence,Mr,West Adelaide,House of Assembly,Unknown
Green,https://members.parliament.sa.gov.au/Detail.aspx?pid=3780,George,Mr,East Adelaide,House of Assembly,Unknown
Green,https://members.parliament.sa.gov.au/Detail.aspx?pid=3781,Thompson,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Gregory,https://members.parliament.sa.gov.au/Detail.aspx?pid=2532,Robert,Hon,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Greig,https://members.parliament.sa.gov.au/Detail.aspx?pid=2533,Julie,Mrs,Reynell,House of Assembly,Liberal Party
Griffin,https://members.parliament.sa.gov.au/Detail.aspx?pid=591,Trevor,Hon,Served in Multiple Electorates,Legislative Council,Liberal Party
Griffiths,https://members.parliament.sa.gov.au/Detail.aspx?pid=3118,Steven ,Mr,Goyder,House of Assembly,Liberal Party
Griffiths,https://members.parliament.sa.gov.au/Detail.aspx?pid=3782,Walter,Mr,Northern Territory,House of Assembly,Unknown
Groom,https://members.parliament.sa.gov.au/Detail.aspx?pid=2534,Terence,Mr,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Groth,https://members.parliament.sa.gov.au/Detail.aspx?pid=2587,Reginald,Mr,Salisbury,House of Assembly,Australian Labor Party
Grundy,https://members.parliament.sa.gov.au/Detail.aspx?pid=3783,Edward,Mr,Barossa,House of Assembly,Unknown
Gunn,https://members.parliament.sa.gov.au/Detail.aspx?pid=3784,John,Hon,Adelaide,House of Assembly,Australian Labor Party
Gunn AM,https://members.parliament.sa.gov.au/Detail.aspx?pid=562,Graham,Hon,Served in Multiple Electorates,House of Assembly,Liberal Party
Guthrie,https://members.parliament.sa.gov.au/Detail.aspx?pid=4105,Robert,Mr,Served in Multiple Electorates,Legislative Council,Nationalist Party
Gwynne,https://members.parliament.sa.gov.au/Detail.aspx?pid=4107,Edward,Hon,Served in Multiple Electorates,Legislative Council,Unknown
Hack,https://members.parliament.sa.gov.au/Detail.aspx?pid=3785,Theodore,Mr,Gumeracha,House of Assembly,Unknown
Hagen,https://members.parliament.sa.gov.au/Detail.aspx?pid=4108,Jacob,Mr,unknown,Legislative Council,Unknown
Hague,https://members.parliament.sa.gov.au/Detail.aspx?pid=3786,James,Mr,Barossa,House of Assembly,Unknown
Hague,https://members.parliament.sa.gov.au/Detail.aspx?pid=3787,William,Hon,Barossa,House of Assembly,Unknown
Haines,https://members.parliament.sa.gov.au/Detail.aspx?pid=3708,William,Mr,Gumeracha,House of Assembly,Unknown
Hall,https://members.parliament.sa.gov.au/Detail.aspx?pid=4109,George,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Hall,https://members.parliament.sa.gov.au/Detail.aspx?pid=545,Joan,Mrs,Served in Multiple Electorates,House of Assembly,Liberal Party
Hall,https://members.parliament.sa.gov.au/Detail.aspx?pid=2535,Steele,Mr,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Halleday,https://members.parliament.sa.gov.au/Detail.aspx?pid=4110,Frank,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Hallett,https://members.parliament.sa.gov.au/Detail.aspx?pid=3709,John,Mr,The Sturt,House of Assembly,Unknown
Hambour,https://members.parliament.sa.gov.au/Detail.aspx?pid=3710,George,Mr,Light,House of Assembly,Liberal and Country League
Hamilton,https://members.parliament.sa.gov.au/Detail.aspx?pid=3711,Edward,Mr,Light,House of Assembly,Unknown
Hamilton,https://members.parliament.sa.gov.au/Detail.aspx?pid=3712,Walter,Mr,East Torrens,House of Assembly,Liberal and Country League
Hamilton OAM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2536,Kevin,Mr,Albert Park,House of Assembly,Australian Labor Party
Hamilton-Smith,https://members.parliament.sa.gov.au/Detail.aspx?pid=631,Martin,Hon,Waite,House of Assembly,Represented multiple parties
Hancock,https://members.parliament.sa.gov.au/Detail.aspx?pid=3713,Joseph,Mr,Newcastle,House of Assembly,Unknown
Handyside,https://members.parliament.sa.gov.au/Detail.aspx?pid=3714,Andrew,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Hanna,https://members.parliament.sa.gov.au/Detail.aspx?pid=527,Kris,Mr,Mitchell,House of Assembly,Represented multiple parties
Hannaford,https://members.parliament.sa.gov.au/Detail.aspx?pid=3715,Ernest,Mr,Murray,House of Assembly,Unknown
Hannaford,https://members.parliament.sa.gov.au/Detail.aspx?pid=3716,Frederick,Mr,Gumeracha,House of Assembly,Unknown
Hannaford,https://members.parliament.sa.gov.au/Detail.aspx?pid=4111,Walter,Hon,Served in Multiple Electorates,Legislative Council,Unknown
Hanson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3717,Sir Richard,Hon,Served in Multiple Electorates,Represented multiple houses,Pre-Party System
Harding,https://members.parliament.sa.gov.au/Detail.aspx?pid=3718,Leslie,Mr,Victoria,House of Assembly,LCL
Hardy,https://members.parliament.sa.gov.au/Detail.aspx?pid=3788,Arthur,Mr,Albert,House of Assembly,Unknown
Hare,https://members.parliament.sa.gov.au/Detail.aspx?pid=4217,Charles,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Harper,https://members.parliament.sa.gov.au/Detail.aspx?pid=3789,Joseph,Mr,East Torrens,House of Assembly,Unknown
Harrison,https://members.parliament.sa.gov.au/Detail.aspx?pid=3790,Charles,Mr,Albert Park,House of Assembly,Australian Labor Party
Harrold,https://members.parliament.sa.gov.au/Detail.aspx?pid=3791,Arthur,Mr,North Adelaide,House of Assembly,Unknown
Hart,https://members.parliament.sa.gov.au/Detail.aspx?pid=4112,Leslie,Hon,Served in Multiple Electorates,Legislative Council,LCL
Hart CMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=4218,John,Hon,Served in Multiple Electorates,Represented multiple houses,Pre-Party System
Hart Jnr,https://members.parliament.sa.gov.au/Detail.aspx?pid=3792,John,Mr,Port Adelaide,House of Assembly,Unknown
Harvey,https://members.parliament.sa.gov.au/Detail.aspx?pid=3793,Arthur,Mr,West Torrens,House of Assembly,Unknown
Harvey,https://members.parliament.sa.gov.au/Detail.aspx?pid=3794,John,Mr,Yatala,House of Assembly,Unknown
Harvey,https://members.parliament.sa.gov.au/Detail.aspx?pid=3795,William,Mr,Newcastle,House of Assembly,Unknown
Harvey,https://members.parliament.sa.gov.au/Detail.aspx?pid=4113,William,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Haslam,https://members.parliament.sa.gov.au/Detail.aspx?pid=4039,William,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Hawke,https://members.parliament.sa.gov.au/Detail.aspx?pid=3796,Albert,Mr,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Hawke,https://members.parliament.sa.gov.au/Detail.aspx?pid=3797,Thomas,Mr,Burra Burra,House of Assembly,Unknown
Hawker,https://members.parliament.sa.gov.au/Detail.aspx?pid=3798,Edward,Mr,Stanley,House of Assembly,Unknown
Hawker,https://members.parliament.sa.gov.au/Detail.aspx?pid=3799,Sir George, ,Served in Multiple Electorates,House of Assembly,Pre-Party System
Hawker MC,https://members.parliament.sa.gov.au/Detail.aspx?pid=3800,George,Mr,Burra,House of Assembly,LCL
Hawkins,https://members.parliament.sa.gov.au/Detail.aspx?pid=4040,Hartley,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Hay,https://members.parliament.sa.gov.au/Detail.aspx?pid=4164,Alexander,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Heaslip,https://members.parliament.sa.gov.au/Detail.aspx?pid=3801,James,Mr,Rocky River,House of Assembly,LCL
Heath,https://members.parliament.sa.gov.au/Detail.aspx?pid=3802,Leslie,Mr,Wallaroo,House of Assembly,LCL
Heggaton,https://members.parliament.sa.gov.au/Detail.aspx?pid=3803,Percival,Mr,Alexandra,House of Assembly,Unknown
Hemmings,https://members.parliament.sa.gov.au/Detail.aspx?pid=2537,Terence,Hon,Napier,House of Assembly,Australian Labor Party
Henning,https://members.parliament.sa.gov.au/Detail.aspx?pid=3804,Rudolph,Mr,Albert,House of Assembly,Unknown
Herbert,https://members.parliament.sa.gov.au/Detail.aspx?pid=3805,Charles,Mr,Northern Territory,House of Assembly,Unknown
Herbert,https://members.parliament.sa.gov.au/Detail.aspx?pid=3806,John,Mr,Wallaroo,House of Assembly,Unknown
Heron,https://members.parliament.sa.gov.au/Detail.aspx?pid=2482,Victor,Mr,Peake,House of Assembly,Australian Labor Party
Hewett,https://members.parliament.sa.gov.au/Detail.aspx?pid=3807,Charles,Mr,Noarlunga,House of Assembly,Unknown
Hill,https://members.parliament.sa.gov.au/Detail.aspx?pid=3808,Henry,Mr,Port Adelaide,House of Assembly,Unknown
Hill,https://members.parliament.sa.gov.au/Detail.aspx?pid=535,John,Hon,Kaurna,House of Assembly,Australian Labor Party
Hill,https://members.parliament.sa.gov.au/Detail.aspx?pid=3818,Lionel,Hon,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Hill AM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2538,Murray,Hon,Served in Multiple Electorates,Legislative Council,Represented multiple parties
Hincks,https://members.parliament.sa.gov.au/Detail.aspx?pid=3819,Sir Cecil,Hon,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Hoare,https://members.parliament.sa.gov.au/Detail.aspx?pid=4106,Albert,Hon,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Hodgkiss,https://members.parliament.sa.gov.au/Detail.aspx?pid=4046,John,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Hogarth,https://members.parliament.sa.gov.au/Detail.aspx?pid=4047,Thomas,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Hogben,https://members.parliament.sa.gov.au/Detail.aspx?pid=3820,Horace,Mr,Sturt,House of Assembly,Unknown
Holden,https://members.parliament.sa.gov.au/Detail.aspx?pid=4114,Sir Edward,Hon,Served in Multiple Electorates,Legislative Council,Liberal and Country League
Holder KCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=3821,Sir Frederick,Hon,Burra,House of Assembly,Represented multiple parties
Holloway,https://members.parliament.sa.gov.au/Detail.aspx?pid=574,Paul,Hon,Unknown,Represented multiple houses,Australian Labor Party
Homburg,https://members.parliament.sa.gov.au/Detail.aspx?pid=4165,Hermann,Hon,Served in Multiple Electorates,Represented multiple houses,Unknown
Homburg Jnr,https://members.parliament.sa.gov.au/Detail.aspx?pid=3832,Robert,Mr,Burra Burra,House of Assembly,Unknown
Homburg Snr,https://members.parliament.sa.gov.au/Detail.aspx?pid=3831,Robert,Hon,Served in Multiple Electorates,House of Assembly,Unknown
Hookings,https://members.parliament.sa.gov.au/Detail.aspx?pid=4053,Allan,Mr,Served in Multiple Electorates,Legislative Council,LCL
Hooper,https://members.parliament.sa.gov.au/Detail.aspx?pid=3651,Richard,Mr,Wallaroo,House of Assembly,Unknown
Hopgood AO,https://members.parliament.sa.gov.au/Detail.aspx?pid=2539,Don,Hon Dr,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Hopkins,https://members.parliament.sa.gov.au/Detail.aspx?pid=3833,George,Mr,Port Adelaide,House of Assembly,Unknown
Hopkins,https://members.parliament.sa.gov.au/Detail.aspx?pid=3834,Leonard,Mr,Barossa,House of Assembly,Unknown
Horn,https://members.parliament.sa.gov.au/Detail.aspx?pid=3835,William,Mr,Flinders,House of Assembly,Unknown
Hourigan,https://members.parliament.sa.gov.au/Detail.aspx?pid=3836,Francis,Mr,West Torrens,House of Assembly,Unknown
Howard,https://members.parliament.sa.gov.au/Detail.aspx?pid=3582,Thomas,Mr,Adelaide,House of Assembly,Unknown
Howe,https://members.parliament.sa.gov.au/Detail.aspx?pid=4173,James,Hon,Served in Multiple Electorates,Represented multiple houses,Unknown
Hudd KBE MC,https://members.parliament.sa.gov.au/Detail.aspx?pid=3648,Sir Herbert,Hon,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Hudson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3837,Hugh,Hon,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Hughes,https://members.parliament.sa.gov.au/Detail.aspx?pid=4174,Henry,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Hughes,https://members.parliament.sa.gov.au/Detail.aspx?pid=4175,John,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Hughes,https://members.parliament.sa.gov.au/Detail.aspx?pid=2588,Lloyd,Mr,Wallaroo,House of Assembly,Australian Labor Party
Hunkin CMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=3838,Leslie,Mr,East Torrens,House of Assembly,Australian Labor Party
Hunt,https://members.parliament.sa.gov.au/Detail.aspx?pid=3839,Ronald,Mr,Victoria,House of Assembly,Unknown
